,Site,Stand,plotID,Treatment,Ntrt,Ptrt,Species,Age,N,P,LDMC,SLA,StomDen,d13C,Parea,Narea
103,HB,HBM,HBM_3,Control,0,0,BE,Mid,25.23333333,1.635504795,483.5,26.98333333,NA,-29.93,0.060895746,0.934407521
104,HB,HBM,HBM_3,Control,0,0,RM,Mid,18.5,1.194434391,479.48,12.88666667,NA,-29.11833333,0.092819122,1.43351893
105,HB,HBM,HBM_3,Control,0,0,SM,Mid,18.23333333,1.155012831,465.1033333,18.80666667,409.3333333,-29.69333333,0.066261196,1.022921456
106,HB,HBM,HBM_3,Control,0,0,WB,Mid,21.5,1.199678363,402.5833333,14.82,NA,-29.06444444,0.091722134,1.5705903
107,HB,HBM,HBM_3,Control,0,0,YB,Mid,24.5,1.500985127,436.5266667,17.88,207,-29.69518519,0.085771033,1.399251929
108,HB,HBM,HBM_4,P,0,1,BE,Mid,24.53333333,1.808772866,508.78,24.94666667,NA,-29.9,0.073119435,0.9985878
109,HB,HBM,HBM_4,P,0,1,RM,Mid,15.8,1.63583508,438.025,16.61,NA,-29.7,0.111659385,1.013890676
110,HB,HBM,HBM_4,P,0,1,SM,Mid,18.66666667,2.11824977,448.6366667,22.13333333,476.3333333,-30.5,0.095286361,0.85314202
111,HB,HBM,HBM_4,P,0,1,WB,Mid,24.08073726,2.073817772,458.32,10.94,NA,-27.89705134,0.190412501,2.21006758
112,HB,HBM,HBM_4,P,0,1,YB,Mid,25.9,2.640964691,435.6333333,16.81333333,250,-29.39666667,0.166243452,1.612265743
113,HB,HBO,HBO_1,P,0,1,BE,Late,19.86666667,1.816957043,583.3833333,13.47666667,NA,-28.86333333,0.144851196,1.555906842
114,HB,HBO,HBO_1,P,0,1,SM,Late,20.9,1.865256515,454.28,18.17,372,-30.06,0.102655835,1.150247661
115,HB,HBO,HBO_1,P,0,1,YB,Late,20.8,2.504382871,450.4566667,14.04333333,214.3333333,-29.20666667,0.181442698,1.537282617
116,HB,HBO,HBO_2,N,1,0,BE,Late,25.669374,1.272782392,524.16,21.21666667,NA,-29.867146,0.060029873,1.213659938
117,HB,HBO,HBO_2,N,1,0,SM,Late,19.76666667,1.095289796,494.35,14.60666667,412.3333333,-28.51666667,0.074744379,1.342165936
118,HB,HBO,HBO_2,N,1,0,YB,Late,29.23333333,1.500696614,447.7533333,14.00666667,223.6666667,-28.13333333,0.107079211,2.084723981
119,HB,HBO,HBO_3,NP,1,1,BE,Late,23.03333333,1.598227422,551.7433333,13.49666667,NA,-28.48222222,0.118887667,1.72018156
120,HB,HBO,HBO_3,NP,1,1,RM,Late,15.8,1.1479,541.75,10.91,NA,-27.09,0.105186475,1.447814533
121,HB,HBO,HBO_3,NP,1,1,SM,Late,21.3,1.743012395,421.31,16.51,485.5,-29.785,0.110628835,1.366388303
122,HB,HBO,HBO_3,NP,1,1,YB,Late,24.83333333,1.98864425,474.7033333,14.42666667,256.3333333,-28.21,0.137908861,1.72291675
123,HB,HBO,HBO_4,Control,0,0,BE,Late,21.0095346,1.113376091,495.7233333,13.16666667,NA,-27.925,0.104412271,1.915560203
124,HB,HBO,HBO_4,Control,0,0,SM,Late,17.93333333,1.132889186,491.31,15.63333333,470.6666667,-29.8,0.07410296,1.149846991
125,HB,HBO,HBO_4,Control,0,0,YB,Late,24.56666667,1.01960743,460.4,14.12333333,222.6666667,-28.90666667,0.070079911,1.765915706
126,JB,JBM,JBM_1,NP,1,1,SM,Mid,20.1,1.374411308,484.7066667,12.16,577,-29.04666667,0.114217376,1.676503146
127,JB,JBM,JBM_1,NP,1,1,WB,Mid,25.6,1.660011797,405.1866667,12.22,NA,-29.29,0.137443505,2.132534494
128,JB,JBM,JBM_1,NP,1,1,YB,Mid,24.76666667,1.583506498,452.94,12.92666667,291,-29.44,0.124834008,1.942112731
129,JB,JBM,JBM_2,N,1,0,SM,Mid,21.7,1.284590945,442.9133333,18.42,432.6666667,-29.62333333,0.074075553,1.244933135
130,JB,JBM,JBM_2,N,1,0,WB,Mid,21,0.994089202,432.3133333,12.99666667,NA,-28.4,0.077128976,1.652231696
131,JB,JBM,JBM_2,N,1,0,YB,Mid,28.65127147,1.325961874,435.9966667,12.50666667,231.6666667,-28.92040419,0.106001341,2.289796298
132,JB,JBM,JBM_3,Control,0,0,SM,Mid,19.56666667,1.178959454,462.7533333,18.64666667,404,-30.54,0.079462896,1.275062635
133,JB,JBM,JBM_3,Control,0,0,WB,Mid,24.03333333,1.315077266,420.7733333,11.99,NA,-29.25666667,0.11015313,2.016340046
134,JB,JBM,JBM_3,Control,0,0,YB,Mid,24.43333333,1.338129939,412.6133333,16.63,180.3333333,-29.74,0.082908382,1.486163843
135,JB,JBM,JBM_4,P,0,1,BE,Mid,26.4,1.847372454,478.47,12.33,NA,-28.33,0.14982745,2.141119221
136,JB,JBM,JBM_4,P,0,1,SM,Mid,18.63333333,1.709052124,441.5933333,16.47333333,489.3333333,-30.49333333,0.10410821,1.131755218
137,JB,JBM,JBM_4,P,0,1,WB,Mid,21.3,1.748965379,415.77,12.21,NA,-29.13,0.143275447,1.755906335
138,JB,JBM,JBM_4,P,0,1,YB,Mid,25.16666667,1.924454913,390.61,15.29666667,201.6666667,-29.85333333,0.126725128,1.654208474
139,JB,JBO,JBO_1,NP,1,1,BE,Late,25.8,1.760133988,473.28,20.52,NA,-30.42,0.08578069,1.257371217
140,JB,JBO,JBO_1,NP,1,1,SM,Late,21.93333333,1.674040839,431.0533333,16.16333333,456.6666667,-28.83333333,0.104424325,1.370536712
141,JB,JBO,JBO_1,NP,1,1,YB,Late,27.1,2.123231333,400.79,13.50333333,267,-28.35,0.159401788,2.045980131
142,JB,JBO,JBO_2,P,0,1,BE,Late,16.1,1.286944975,551.46,14.68,NA,-30.09,0.097391541,1.232718109
143,JB,JBO,JBO_2,P,0,1,SM,Late,17.94554863,1.497263861,475.61,13.35666667,444,-29.03,0.113252076,1.361284226
144,JB,JBO,JBO_2,P,0,1,YB,Late,27.63333333,2.041507495,388.4333333,12.75666667,212.3333333,-28.33,0.165682061,2.283544072
145,JB,JBO,JBO_3,N,1,0,BE,Late,20.36666667,1.205613823,558.5466667,12.45666667,NA,-29.87,0.096819263,1.639390311
146,JB,JBO,JBO_3,N,1,0,SM,Late,18.16666667,0.912913668,492.67,14.465,480,-28.92,0.066472964,1.362347764
147,JB,JBO,JBO_3,N,1,0,YB,Late,29.03333333,1.455205681,467.0333333,13.07666667,262,-28.33666667,0.112676618,2.23788651
148,JB,JBO,JBO_4,Control,0,0,BE,Late,22.8,1.133289215,526.8666667,12.61666667,NA,-28.46777778,0.08991821,1.81548795
149,JB,JBO,JBO_4,Control,0,0,SM,Late,15.56666667,0.917054528,506.82,10.94666667,397,-28.19333333,0.083863079,1.42548632
150,JB,JBO,JBO_4,Control,0,0,YB,Late,26.22955498,1.57048285,417.3166667,14.49,232.6666667,-28.76920927,0.108560125,1.832926871
